 5n-lacey.09-Eng        Tebo-ICT,  license #BoJie

 Test Fixture Nails     296/296  Selected Drills           05-May-2018 11:05
                        296 Nails,  2417 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$115     -5.1500    0.6450   3  AA   (B)  #834  SSD_TDI_BUF      T PIN MTP31018.1
$116     -5.1961    0.6807   2  AA   (B)  #827  SOC_BKLTEN       T PIN MTP30002.1
$117     -5.1039    0.6728   3  AA   (B)  #825  SOC_BKLT_CTRL_IN T PIN MTP30004.1
$118     -5.0354    0.6437   2  AA   (B)  #1338 DEBUG_MUX_2OEN   T PIN MTP31011.1
$119     -4.9733    0.6444   3  AA   (B)  #2410 NC_2409          T PIN MTP36001.1
$120     -4.9419    0.6004   4  AA   (B)  #1339 SD_DEBUG3        T PIN MTP31007.1
$121     -4.9173    0.5659   4  AA   (B)  #829  TS_TCK_BUF       T PIN MTP31001.1
$122     -4.8878    0.5266   3  AA   (B)  #69   SAM_KIP_UART_RX  T PIN MTP48012.1
$123     -4.8278    0.6358   3  AA   (B)  #2411 NC_2410          T PIN MTP36002.1
$124     -4.8356    0.6801   4  AA   (B)  #70   I2C_SCL_TP       T PIN MTP48007.1
$125     -4.8799    0.6811   4  AA   (B)  #73   I2C_SDA_TP       T PIN MTP48006.1
$126     -4.9232    0.6949   3  AA   (B)  #1335 SD_DEBUG1        T PIN MTP31005.1
$127     -4.9439    0.7529   2  AA   (B)  #88   SAM_SWD_DIO      T PIN MTP_BF28004.1
$128     -4.8248    0.9142   1  AA   (B)  #369  V1P8A            T PIN MTP58008.1
$129     -4.7816    0.8003   1  AA   (B)  #89   SAM_SWD_CLK      T PIN MTP_BF28003.1
$130     -4.7000    0.7100   3  AA   (B)  #832  SSD_TCK_BUF      T PIN MTP31015.1
$131     -4.7050    0.6650   4  AA   (B)  #484  DEBUG_MUX_S0     T PIN MTP31014.1
$132     -4.6607    0.6508   3  AA   (B)  #830  TS_TMS_BUF       T PIN MTP31002.1
$133     -4.5965    0.6102   3  AA   (B)  #1341 SD_DEBUG2        T PIN MTP31006.1
$134     -4.6191    0.5512   2  AA   (B)  #833  SSD_TMS_BUF      T PIN MTP31016.1
$135     -4.7146    0.5325   1  AA   (B)  #488  DEBUG_MUX_S1     T PIN MTP31013.1
$136     -4.5961    0.3748   2  AA   (B)  #1343 SD_DEBUG4        T PIN MTP31008.1
$137     -4.7441    0.3417   3  AA   (B)  #2    GND              T PIN MTP_BF70015.1
$138     -4.7264    0.2087   3  AA   (B)  #74   5V0_OFFBOARD     T PIN MTP48002.1
$139     -4.4378    0.1524   1  AA   (B)  #486  DEBUG_MUX_S2     T PIN MTP31020.1
$140     -4.4335    0.3028   1  AA   (B)  #487  DEBUG_MUX_S3     T PIN MTP31019.1
$141     -4.4803    0.4045   2  AA   (B)  #1345 SSD_TDO_BUF      T PIN MTP31017.1
$142     -4.5142    0.4508   3  AA   (B)  #1346 TS_TDO_BUF       T PIN MTP31003.1
$143     -4.4124    0.6280   2  AA   (B)  #465  PMIC_EN          T PIN MTP29001.1
$144     -4.4144    0.7254   3  AA   (B)  #568  SAM_PCH_RSMRST_N T PIN MTP29003.1
$145     -4.5036    0.6508   3  AA   (B)  #1337 DEBUG_MUX_1OEN   T PIN MTP31012.1
$146     -4.5177    0.6998   3  AA   (B)  #1571 VRM_PWR_EN       T PIN MTP29006.1
$147     -4.5335    0.7559   2  AA   (B)  #439  RTCRST_CTRL      T PIN MTP29004.1
$148     -4.4675    0.7707   2  AA   (B)  #580  3P3V_SSD_EN      T PIN MTP29002.1
$149     -4.5020    0.8218   3  AA   (B)  #437  SAM_PROCHOT      T PIN MTP29008.1
$150     -4.9685    1.8729   1  AA   (B)  #2    GND              T PIN MTP_BF76004.1
$151     -4.7843    1.9044   1  AA   (B)  #357  VCCIO            T PIN MTP76005.1
$152     -4.4587    1.9980   1  AA   (B)  #611  XDP_PRESENT_LOGIC T PIN MTP18002.1
$153     -4.4776    1.8191   1  AA   (B)  #610  XDP_PRESENT_N    T PIN MTP18001.1
$156     -3.9400    1.8002   3  AA   (B)  #425  PROC_TRST_N      T PIN MTP10001.1
$157     -3.9432    1.8508   3  AA   (B)  #422  PROC_TDI         T PIN MTP10004.1
$158     -3.9955    1.8307   3  AA   (B)  #425  PROC_TRST_N      T PIN MTP10011.1
$159     -3.9955    1.8819   3  AA   (B)  #424  PROC_TMS         T PIN MTP10010.1
$160     -3.9432    1.9039   3  AA   (B)  #424  PROC_TMS         T PIN MTP10002.1
$161     -3.9432    1.9571   3  AA   (B)  #420  PROC_TCK         T PIN MTP10005.1
$162     -3.9955    1.9327   3  AA   (B)  #421  PCH_JTAG_TCK     T PIN MTP10007.1
$163     -3.9955    1.9874   3  AA   (B)  #420  PROC_TCK         T PIN MTP10012.1
$164     -4.0400    2.0449   2  AA   (B)  #423  PROC_TDO         T PIN MTP10003.1
$165     -4.0900    2.0950   2  AA   (B)  #423  PROC_TDO         T PIN MTP10009.1
$166     -3.7875    2.4778   3  AA   (B)  #681  V0P6DX_LPDDR3    T PIN MTP76011.1
$167     -3.0310    2.2196   1  AA   (B)  #366  V1P2U            T PIN MTP76010.1
$168     -3.7283    1.3159   2  AA   (B)  #553  VCCST_CPU        T PIN MTP76006.1
$169     -4.1772    0.9724   1  AA   (B)  #33   VCCGT            T PIN MTP76003.1
$170     -4.2675    0.8707   1  AA   (B)  #468  SAM_CHGR_PSU_ON  T PIN MTP29007.1
$171     -4.2421    0.7390   1  AA   (B)  #2    GND              T PIN MTP_BF28005.1
$172     -4.2933    0.6138   2  AA   (B)  #1331 SAM_SL_DBG_EN    T PIN MTP47004.1
$173     -4.2579    0.5541   2  AA   (B)  #513  MASTER_THERMTRIP_N T PIN MTP27001.1
$174     -4.2606   -0.0976   1  AA   (B)  #1313 DEBUG_LED1       T PIN MTP27002.1
$175     -4.1547   -0.1295   1  AA   (B)  #1315 SAM_DISPLAY_BKLT_EN T PIN MTP30001.1
$176     -4.0482   -0.0896   1  AA   (B)  #86   SAM_RESET_N      T PIN MTP_BF28002.1
$177     -3.9472    0.3638   2  AA   (B)  #1329 SAM_DISPLAY_BKLT_PWM T PIN MTP30003.1
$178     -3.9754    0.4161   3  AA   (B)  #20   3P3VA_SW         T PIN MTP_BF28001.1
$179     -3.9539    0.4634   3  AA   (B)  #591  SAM_PMIC_PWRBTN  T PIN MTP29005.1
$180     -4.0404    0.5890   2  AA   (B)  #1324 DEBUG_LED0       T PIN MTP27003.1
$181     -3.9616    0.5807   1  AA   (B)  #354  3P3VA            T PIN MTP_BF76007.1
$182     -3.8394    0.8272   2  AA   (B)  #302  BAT_SHUTDOWN_N   T PIN MTP70005.1
$183     -3.6171    0.8268   1  AA   (B)  #2    GND              T PIN MTP_BF76005.1
$184     -3.5394    1.2126   2  AA   (B)  #422  PROC_TDI         T PIN MTP10008.1
$185     -3.2153    0.8159   1  AA   (B)  #2    GND              T PIN MTP70006.1
$186     -2.7205    1.0896   1  AA   (B)  #32   VCORE            T PIN MTP76012.1
$187     -2.7480    1.6312   1  AA   (B)  #375  VCCSA            T PIN MTP76004.1
$188     -2.6447    1.5678   2  AA   (B)  #596  VCCSTG           T PIN MTP76007.1
$189     -2.3612    1.4921   2  AA   (B)  #258  DMIC_DATA        T PIN MTP20001.1
$190     -2.3494    1.5738   2  AA   (B)  #277  DMIC_CLK         T PIN MTP20002.1
$191     -2.4911    2.1778   2  AA   (B)  #1263 PME_N            T PIN MTTP22008.1
$192     -2.6224    2.2153   1  AA   (B)  #1260 N57427938        T PIN MTTP22003.1
$193     -2.6289    2.4370   2  AA   (B)  #755  PCH_DPWROK       T PIN MTTP59006.1
$194     -2.3841    2.4355   1  AA   (B)  #517  CAM_LED_F_EN     T PIN MTP25003.1
$195     -1.8199    2.3307   1  AA   (B)  #19   V3P3_DSW         T PIN MTP38001.1
$196     -2.0650    2.0423   3  AA   (B)  #306  1P8VSUS_ORG      T PIN MTP25002.1
$197     -2.2483    2.0095   1  AA   (B)  #1267 N57427793        T PIN MTTP22011.1
$198     -2.0158    1.8110   1  AA   (B)  #304  V1P00A           T PIN MTP61001.1
$199     -1.8878    1.4850   1  AA   (B)  #658  CAM_F_XO_EN      T PIN MTP54009.1
$200     -1.7781    1.5288   1  AA   (B)  #1293 VCCPLL_OC        T PIN MTP61002.1
$201     -1.6831    1.5266   1  AA   (B)  #2    GND              T PIN MTP20003.1
$202     -1.5256    1.3543   1  AA   (B)  #81   VCC_RTC          T PIN MTP56003.1
$203     -1.5229    1.1931   1  AA   (B)  #354  3P3VA            T PIN MTP_BF56002.1
$204     -1.7829    1.0526   3  AA   (B)  #608  GP_BAT_SHUTDOWN  T PIN MTP70008.1
$205     -1.8711    1.0807   1  AA   (B)  #20   3P3VA_SW         T PIN MTP56004.1
$206     -2.1329    0.8622   1  AA   (B)  #813  SAM_SSD_FLUSH    T PIN MTP43025.1
$207     -2.1181    0.6742   2  AA   (B)  #514  PLT_RST_BUF_N    T PIN MTTP22014.1
$208     -2.0020    0.5915   2  AA   (B)  #630  SSD_PERST_N      T PIN MTP43024.1
$209     -2.2587    0.4043   1  AA   (B)  #657  PCIE_SSD_PERST_N T PIN MTP25030.1
$210     -2.6378    0.1929   1  AA   (B)  #24   1P8V_SSD2        T PIN MTP44027.1
$211     -2.5266   -0.0335   1  AA   (B)  #1347 SSD_JTAG_TDO     T PIN MTP43020.1
$212     -2.4065   -0.0345   1  AA   (B)  #301  BATGONE          T PIN MTP70007.1
$213     -2.4075    0.0827   1  AA   (B)  #23   1P2V_SSD2        T PIN MTP44026.1
$214     -1.5717    0.1784   2  AA   (B)  #848  SSD_JTAG_TDI     T PIN MTP43021.1
$215     -1.5717    0.2413   3  AA   (B)  #844  SSD_JTAG_TCK     T PIN MTP43022.1
$216     -1.5209    0.2221   3  AA   (B)  #846  SSD_JTAG_TMS     T PIN MTP43023.1
$217     -1.2185    0.0138   1  AA   (B)  #21   1P8V_SSD         T PIN MTP43027.1
$218     -1.3681    0.4961   1  AA   (B)  #22   1P2V_SSD         T PIN MTP43026.1
$219     -1.2350    0.6750   3  AA   (B)  #2    GND              T PIN MTP39004.1
$220     -1.2510    0.7333   2  AA   (B)  #6    CFAN_PWM_R_1     T PIN MTP39001.1
$221     -1.1562    0.7450   1  AA   (B)  #5    V5A              T PIN MTP39003.1
$222     -1.0962    0.9301   1  AA   (B)  #59   AMP_SPK_RP       T PIN MTP41006.1
$223     -1.0962    1.0307   1  AA   (B)  #58   AMP_SPK_RN       T PIN MTP41007.1
$224     -0.9272    0.7185   1  AA   (B)  #2    GND              T PIN MTP64006.1
$225     -0.9212    0.6133   2  AA   (B)  #385  BOOT_TO_UEFI     T PIN MTP32001.1
$226     -0.9282    0.5482   3  AA   (B)  #4    CPUFAN_TACH      T PIN MTP39002.1
$227     -0.9753    0.2955   1  AA   (B)  #615  3P3V_SSD         T PIN MTP65003.1
$228     -0.9006    0.1762   1  AA   (B)  #35   PWR_SL_F         T PIN MTP_BF69014.1
$229     -0.6303    0.3342   2  AA   (B)  #510  SL_3P3V_DIS      T PIN MTP46002.1
$230     -0.6343    0.4862   2  AA   (B)  #1457 3P3V_HPD         T PIN MTP46001.1
$231     -0.6516    0.6181   1  AA   (B)  #46   PWR_SW_N         T PIN MTP_BF56001.1
$232     -0.4429    0.7106   1  AA   (B)  #386  BOOT_TO_USB      T PIN MTP32002.1
$233     -0.2328    0.5996   2  AA   (B)  #800  DDPC_CTRL_DATA   T PIN MTP46007.1
$234     -0.2075    0.5311   2  AA   (B)  #1454 SL_CONFIG1       T PIN MTP46008.1
$235     -0.2614    0.2567   1  AA   (B)  #1459 SL_DBG4_CONFIG1  T PIN MTP47009.1
$236     -0.1197    0.2366   2  AA   (B)  #900  SL_DBG_EN        T PIN MTP47005.1
$237     -0.0787    0.3091   1  AA   (B)  #1458 SL_DBG2_DP_HPD   T PIN MTP47008.1
$238      0.2687    0.0439   1  AA   (B)  #65   SL_HPD1A         T PIN MTP47001.1
$239      0.3902   -0.1000   3  AA   (B)  #34   PWR_SL           T PIN MTP_BF47002.1
$240      0.3902   -0.0409   3  AA   (B)  #34   PWR_SL           T PIN MTP_BF47003.1
$241      0.3902    0.0181   3  AA   (B)  #34   PWR_SL           T PIN MTP_BF47004.1
$242      0.3902    0.0772   3  AA   (B)  #34   PWR_SL           T PIN MTP_BF47005.1
$243      0.3391    0.1382   3  AA   (B)  #2    GND              T PIN MTP_BF47012.1
$244      0.0630    0.3803   2  AA   (B)  #1451 SL_DBG3_AUX_DN   T PIN MTP47007.1
$245      0.0465    0.4409   3  AA   (B)  #1450 SL_DBG1_AUX_DP   T PIN MTP47006.1
$246     -0.0150    0.4728   3  AA   (B)  #637  SL_DDC_AUX_DP    T PIN MTP46003.1
$247     -0.0740    0.4500   2  AA   (B)  #636  SL_DDC_AUX_DN    T PIN MTP46009.1
