 5n-lacey.09-Eng        Tebo-ICT,  license #BoJie
C44180       -3.0921    0.1032    0.0  AA   (T)  '0201_P33', '0201_P33'
C44190       -2.6302    0.3024    0.0  AA   (B)  '0201S_P6-W', '0201S_P6-W'
C45001       -8.1443    2.8976  180.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C45002       -8.1443    2.9193  180.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C45003       -8.0766    2.0673    0.0  AA   (T)  '0201_P35MM-W', '0201_P35MM-W'
C45013       -8.0805    2.1323   90.0  AA   (T)  'CAP_0201_14MIL', 'CAP_0201_14MIL'
C45014       -8.0805    2.2091  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C45015       -1.9111    1.0141    0.0  AA   (T)  '0201S_P33', '0201S_P33'
C45016       -1.9289    0.8279    0.0  AA   (T)  '0201S_P33', '0201S_P33'
C45017       -8.0518    2.1417   90.0  AA   (T)  '0402_P7MM-W', '0402_P7MM-W'
C45020       -8.4772    2.4557  270.0  AA   (T)  '1210_2P1', '1210_2P1'
C46001       -0.1074    0.5450  180.0  AA   (T)  '0201_P33', '0201_P33'
C46002       -0.2621    0.5504    0.0  AA   (T)  '0201_P33', '0201_P33'
C46003       -0.2621    0.5268    0.0  AA   (T)  '0201_P33', '0201_P33'
C46004       -0.1074    0.5701  180.0  AA   (T)  '0201_P33', '0201_P33'
C46005       -0.6143    0.4812    0.0  AA   (T)  'CAP_0603_36MIL', 'CAP_0603_36MIL'
C46006       -0.7193    0.5062   90.0  AA   (T)  'CAP_0402_28MIL', 'CAP_0402_28MIL'
C47001       -0.0801    0.2726  270.0  AA   (T)  '0201_P33', '0201_P33'
C47002       -0.0645    0.1938    0.0  AA   (T)  '0201_P33', '0201_P33'
C47004        0.0364    0.3842   90.0  AA   (T)  '0201_P33', '0201_P33'
C47005       -0.0645    0.2154    0.0  AA   (T)  '0201_P33', '0201_P33'
C48004       -1.9652    2.3316   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C48011       -4.7884    0.1545  270.0  AA   (T)  '0402_P7MM-W', '0402_P7MM-W'
C48014       -4.7969    0.4480  180.0  AA   (T)  '0201_P35MM-W', '0201_P35MM-W'
C49001       -6.1075    2.8680    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C49002       -6.1173    2.8267    0.0  AA   (T)  '0402_P7MM-W', '0402_P7MM-W'
C49003       -6.1071    2.9165    0.0  AA   (T)  '0603_1MM', '0603_1MM'
C49004       -6.9961    2.7018   90.0  AA   (T)  '0402_P57MM', '0402_P57MM'
C49005       -6.8012    2.6919    0.0  AA   (B)  '0402_P57MM_B', '0402_P57MM_B'
C49006       -6.8685    2.6321    0.0  AA   (B)  '0402_P57MM_B', '0402_P57MM_B'
C49007       -6.1240    2.6336  180.0  AA   (T)  '0603_1MM', '0603_1MM'
C49008       -6.7323    2.7923  270.0  AA   (B)  '0402_P57MM_B', '0402_P57MM_B'
C49009       -6.0799    2.7658   90.0  AA   (T)  '0603_1MM', '0603_1MM'
C49010       -6.4646    2.7018   90.0  AA   (T)  '0402_P65MM-W', '0402_P65MM-W'
C49011       -6.3701    2.8427    0.0  AA   (B)  '0402_P57MM_B', '0402_P57MM_B'
C49012       -6.2760    2.7667   90.0  AA   (B)  '0402_P57MM_B', '0402_P57MM_B'
C49013       -6.4055    2.6734   90.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C49014       -6.3701    2.7935  180.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C49015       -6.2484    2.7589  270.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C49016       -6.9488    2.7902  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C49017       -6.9488    2.8691   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C49018       -7.1669    2.6381  180.0  AA   (T)  '0402_P7MM-W', '0402_P7MM-W'
C49019       -6.4744    2.7837  270.0  AA   (T)  '0402_P7MM-W', '0402_P7MM-W'
C49020       -6.6024    2.7033   90.0  AA   (T)  '0603_1MM', '0603_1MM'
C49021       -6.5354    2.6939    0.0  AA   (T)  '0603_1MM', '0603_1MM'
C49022       -7.4362    2.7439  180.0  AA   (B)  '0402_P57MM_B', '0402_P57MM_B'
C49023       -7.5740    2.7498  270.0  AA   (B)  '0402_P57MM_B', '0402_P57MM_B'
C49024       -7.4063    2.7911  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C49025       -7.6142    2.6683  270.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C49026       -7.3965    2.6868   90.0  AA   (T)  '0402_P7MM-W', '0402_P7MM-W'
C49028       -7.1524    2.7144  180.0  AA   (B)  '0402_P57MM_B', '0402_P57MM_B'
C49029       -7.2882    2.7498  270.0  AA   (B)  '0402_P57MM_B', '0402_P57MM_B'
C49030       -7.1228    2.7518  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C49031       -7.3846    2.7459   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C49032       -6.2760    2.6982   90.0  AA   (B)  '0402_P4-S_B', '0402_P4-S_B'
C49033       -7.6311    2.7675  270.0  AA   (B)  '0402_P57MM_B', '0402_P57MM_B'
C49034       -7.3453    2.7675  270.0  AA   (B)  '0402_P57MM_B', '0402_P57MM_B'
C49035       -6.1177    2.9513    0.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C49036       -6.1177    2.9730    0.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C49052       -6.5984    2.7884  270.0  AA   (T)  '0603_1MM', '0603_1MM'
C49053       -7.2823    2.7041  180.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C49054       -7.5681    2.7041  180.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C49055       -6.1232    2.7735    0.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C49056       -7.1012    2.7518  270.0  AA   (T)  '0201_P33', '0201_P33'
C49057       -7.4063    2.7459   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C49058       -6.3701    2.7719  180.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C49059       -6.9685    2.7077   90.0  AA   (T)  '0201_P33', '0201_P33'
C49060       -6.9469    2.7077   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C49061       -6.7598    2.7923  270.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C49062       -6.7815    2.7923  270.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C49063       -6.8681    2.6589    0.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C49064       -6.8681    2.6805    0.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C49065       -6.8012    2.7195    0.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C49066       -6.8012    2.7411    0.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C49067       -6.1232    2.7952    0.0  AA   (T)  '0201_P33', '0201_P33'
C49068       -6.2268    2.7089   90.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C49069       -6.2484    2.7089   90.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C49070       -6.3701    2.8152  180.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C49071       -6.3311    2.7628   90.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C49072       -6.3095    2.7628   90.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C49073       -7.5681    2.6825  180.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C49074       -7.6016    2.7203  270.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C49075       -7.6016    2.7774   90.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C49076       -7.3846    2.7911  270.0  AA   (T)  '0201_P33', '0201_P33'
C49077       -7.5150    2.7380   90.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C49078       -7.5465    2.7380   90.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C49079       -7.2823    2.6825  180.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C49080       -7.3158    2.7774   90.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C49081       -7.3158    2.7203  270.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C49082       -7.1130    2.7190  180.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C49083       -7.2291    2.7380   90.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C49084       -7.2606    2.7380   90.0  AA   (B)  '0201_P33MM_B', '0201_P33MM_B'
C49085       -6.6858    2.7805  270.0  AA   (T)  '0603_1MM', '0603_1MM'
C49087       -7.1110    2.6659   90.0  AA   (T)  '0603_1MM', '0603_1MM'
C50001       -5.9061    0.0053    0.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50002       -5.9061   -0.0272    0.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50003       -6.1238   -0.1371  270.0  AA   (T)  '0201_P35MM-W', '0201_P35MM-W'
C50004       -6.2279    0.1761   90.0  AA   (T)  '0201_P33', '0201_P33'
C50005       -6.1238   -0.0965   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50006       -5.9063    0.0270    0.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50007       -6.2604   -0.0538  180.0  AA   (T)  '0201_P35MM-W', '0201_P35MM-W'
C50008       -6.2604   -0.0759  180.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50009       -5.8635    0.0783    0.0  AA   (T)  '0201_P33', '0201_P33'
C50010       -6.2604   -0.0316  180.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50011       -6.2605    0.1122  180.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50012       -6.2604    0.0890  180.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50013       -6.2606   -0.0089  180.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50014       -6.2604    0.0144  180.0  AA   (T)  '0201_P35MM-W', '0201_P35MM-W'
C50015       -6.1555    0.2697    0.0  AA   (T)  '0603_1MM', '0603_1MM'
C50016       -6.0882    0.1772   90.0  AA   (T)  '0201_P35MM-W', '0201_P35MM-W'
C50017       -6.0661    0.1761  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50018       -5.9650    0.3187    0.0  AA   (T)  '0201_P33', '0201_P33'
C50020       -5.8386    0.3359    0.0  AA   (T)  '0603_1MM', '0603_1MM'
C50021       -5.9113    0.3410  270.0  AA   (T)  '0201_P33', '0201_P33'
C50023       -6.2601    0.0364  180.0  AA   (T)  '0201_P33', '0201_P33'
C50024       -5.8386    0.2847    0.0  AA   (T)  '0603_1MM', '0603_1MM'
C50026       -6.1951   -0.1612  270.0  AA   (T)  '0603_1MM', '0603_1MM'
C50027       -6.2056   -0.0982   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50028       -6.1713   -0.0986  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50029       -5.8776   -0.1000    0.0  AA   (T)  '0402_P57MM', '0402_P57MM'
C50030       -5.9681   -0.0972  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50031       -6.0471   -0.1787  270.0  AA   (T)  '0603_1MM', '0603_1MM'
C50032       -6.0600   -0.1269  180.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50033       -6.0652   -0.0966   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50034       -5.9048    0.0558    0.0  AA   (T)  '0201_P33', '0201_P33'
C50035       -6.0228    0.1772   90.0  AA   (T)  '0201_P35MM-W', '0201_P35MM-W'
C50036       -6.2605    0.1343  180.0  AA   (T)  '0201_P33', '0201_P33'
C50037       -6.0008    0.1761   90.0  AA   (T)  '0201_P33', '0201_P33'
C50038       -5.8628    0.0270    0.0  AA   (T)  '0201_P33', '0201_P33'
C50039       -5.9917   -0.0972  270.0  AA   (T)  '0201_P33', '0201_P33'
C50040       -5.9270    0.2395   90.0  AA   (T)  '0603_1MM', '0603_1MM'
C50041       -5.9422    0.1772  270.0  AA   (T)  '0201_P35MM-W', '0201_P35MM-W'
C50042       -6.0449    0.1761  270.0  AA   (T)  '0201_P33', '0201_P33'
C50045       -6.1783    0.3395  270.0  AA   (T)  '0201_P33', '0201_P33'
C50046       -6.1567    0.3395  270.0  AA   (T)  '0201_P33', '0201_P33'
C50047       -6.1197    0.1668  180.0  AA   (T)  '0201_P33', '0201_P33'
C50050       -6.2641   -0.1862  180.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50054       -6.2565   -0.1156  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50055       -6.1476   -0.0965   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50056       -6.2235   -0.2503  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50057       -6.4070   -0.0355   90.0  AA   (T)  '0201_P33', '0201_P33'
C50058       -5.9968   -0.2503   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50060       -5.9909   -0.1674   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50063       -6.0957   -0.0970  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50065       -6.0216   -0.0972   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50066       -5.9562   -0.1866    0.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50067       -5.9306   -0.0972   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50069       -5.9023   -0.1673   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C50070       -5.8945    0.0912   90.0  AA   (T)  '0201_P33', '0201_P33'
C50071       -5.9159    0.0913   90.0  AA   (T)  '0201_P33', '0201_P33'
C53001       -8.1555    2.0197  270.0  AA   (T)  '0201_P33', '0201_P33'
C53002       -8.1764    2.0197  270.0  AA   (T)  '0201_P33', '0201_P33'
C53003       -8.1581    1.8701   90.0  AA   (T)  '0201_P33', '0201_P33'
C53004       -8.1364    1.8701   90.0  AA   (T)  '0201_P33', '0201_P33'
C53007       -7.9892    1.9311   90.0  AA   (T)  'CAP_0603_38MIL', 'CAP_0603_38MIL'
C53008       -7.9311    1.8721  270.0  AA   (T)  'CAP_0201_14MIL', 'CAP_0201_14MIL'
C53009       -7.9528    1.8721  270.0  AA   (T)  'CAP_0201_14MIL', 'CAP_0201_14MIL'
C53010       -7.9852    1.9862  180.0  AA   (T)  'CAP_0201_14MIL', 'CAP_0201_14MIL'
C53011       -8.1423    2.5285  180.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C53012       -8.1423    2.5069  180.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C53013       -8.1423    2.4459  180.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C53014       -8.1423    2.4675  180.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C53015       -8.1423    2.3829  180.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C53016       -8.1423    2.4045  180.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C53017       -8.1423    2.5896  180.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C53018       -8.1423    2.5679  180.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C53021       -7.9715    2.0453    0.0  AA   (T)  'CAP_0603_38MIL', 'CAP_0603_38MIL'
C54001       -5.1305    2.5098  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C54002       -4.6224    2.3215  270.0  AA   (T)  '0402_P56MM', '0402_P56MM'
C54003       -4.9701    2.6181    0.0  AA   (T)  '0201_P33', '0201_P33'
C54004       -4.9622    2.5886    0.0  AA   (T)  '0402_P65MM-W', '0402_P65MM-W'
C54005       -4.9642    2.5276    0.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C54006       -5.1996    2.6110  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C54007       -4.6774    2.4197   90.0  AA   (T)  '0201_P33', '0201_P33'
C54008       -5.0957    2.7148   90.0  AA   (T)  '0402_P56MM', '0402_P56MM'
C54009       -4.9059    2.4894  180.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C54010       -4.8524    2.4567    0.0  AA   (T)  '0603_1MM-S', '0603_1MM-S'
C54013       -4.8122    2.8268    0.0  AA   (T)  '0201_P33', '0201_P33'
C54014       -4.8138    2.8701   90.0  AA   (T)  '0402_P7MM-W', '0402_P7MM-W'
C54016       -5.1831    2.7953   90.0  AA   (T)  '0201_P33', '0201_P33'
C55001       -5.7167    2.8945  270.0  AA   (T)  '0201_P33', '0201_P33'
C55002       -7.9738    2.4902  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C55003       -5.7581    2.8295   90.0  AA   (T)  '0201_P35MM-W', '0201_P35MM-W'
C55004       -5.7896    2.8295   90.0  AA   (T)  '0201_P33', '0201_P33'
C55005       -5.6951    2.8945  270.0  AA   (T)  '0201_P33', '0201_P33'
C55006       -5.6537    2.8945  270.0  AA   (T)  '0201_P33', '0201_P33'
C55007       -5.6321    2.8945  270.0  AA   (T)  '0201_P33', '0201_P33'
C55008       -5.5907    2.8945  270.0  AA   (T)  '0201_P33', '0201_P33'
C55009       -5.5691    2.8945  270.0  AA   (T)  '0201_P33', '0201_P33'
C55010       -5.5537    2.5339   90.0  AA   (T)  '0201_P33', '0201_P33'
C55011       -5.5321    2.5339   90.0  AA   (T)  '0201_P33', '0201_P33'
C55012       -5.5278    2.8945  270.0  AA   (T)  '0201_P33', '0201_P33'
C55013       -5.5061    2.8945  270.0  AA   (T)  '0201_P33', '0201_P33'
C55015       -5.4892    2.5276  270.0  AA   (T)  '0603_P95MM', '0603_P95MM'
C55022       -5.6893    2.5898    0.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C55023       -5.6893    2.6115    0.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C55026       -2.6550    1.2900  270.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C55027       -2.7650    1.2900  270.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C55028       -4.5850    2.3750  270.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C55029       -4.4700    2.3750  270.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C55030       -2.2450    1.2900  270.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C55031       -3.4250    1.2900  270.0  AA   (B)  '0201_P33_B', '0201_P33_B'
C55032       -4.8650    2.3700   90.0  AA   (T)  '0201_P33', '0201_P33'
C55033       -4.9450    2.3700   90.0  AA   (T)  '0201_P33', '0201_P33'
C56003       -1.6120    0.7599    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C56004       -1.4799    1.1238    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C56005       -1.4750    1.0542  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C56007       -1.8081    0.8376  180.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C56008       -1.8081    0.8592  180.0  AA   (T)  '0201_P33', '0201_P33'
C56009       -1.6949    1.0315  270.0  AA   (T)  '0201_P33', '0201_P33'
C56010       -1.7077    1.0935    0.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C56012       -1.5728    0.8917  270.0  AA   (T)  '0201_P35MM-W', '0201_P35MM-W'
C56013       -1.7382    1.0315  270.0  AA   (T)  '0201_P33', '0201_P33'
C56015       -1.8622    1.1585  180.0  AA   (T)  '0201_P33', '0201_P33'
C56020       -1.6732    1.3711    0.0  AA   (T)  '0201_P33', '0201_P33'
C56021       -1.6634    1.2323    0.0  AA   (T)  '0201_P35MM-W', '0201_P35MM-W'
C56022       -1.4798    1.1725    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C56023       -1.8622    1.1801    0.0  AA   (T)  '0201_P33', '0201_P33'
C56024       -1.5416    1.2595  270.0  AA   (T)  '0201_P33', '0201_P33'
C56025       -1.7608    1.0295   90.0  AA   (T)  '0201_P35MM-W', '0201_P35MM-W'
C56026       -1.8278    1.0295   90.0  AA   (T)  '0201_P35MM-W', '0201_P35MM-W'
C56027       -1.8254    1.2254   90.0  AA   (T)  '0201_P35MM-W', '0201_P35MM-W'
C58001       -5.7652    1.3677  270.0  AA   (T)  '0402_P56MM', '0402_P56MM'
C58002       -5.1594    1.5599  180.0  AA   (T)  '0402_P56MM', '0402_P56MM'
C58003       -5.4783    1.2607  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58004       -5.6147    1.3430  180.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C58005       -5.0205    1.6548  180.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C58006       -4.8972    1.7390    0.0  AA   (T)  '0805_1P45', '0805_1P45'
C58007       -5.1457    1.3748   90.0  AA   (T)  '0402_P55MM-S', '0402_P55MM-S'
C58008       -6.0797    1.2716   90.0  AA   (T)  '0603_1-W', '0603_1-W'
C58009       -6.1476    1.2716   90.0  AA   (T)  '0603_1-W', '0603_1-W'
C58010       -6.0118    1.2716   90.0  AA   (T)  '0603_1-W', '0603_1-W'
C58011       -5.9439    1.2716   90.0  AA   (T)  '0603_1-W', '0603_1-W'
C58012       -4.7063    1.9974  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58013       -4.7953    1.9967    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58015       -5.7179    1.3579  270.0  AA   (T)  '0402_P55MM-S', '0402_P55MM-S'
C58016       -4.7953    1.9494    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58017       -4.7063    1.9502  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58018       -4.7953    1.9016    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58019       -5.1496    1.0541  180.0  AA   (T)  '0402_P55MM-S', '0402_P55MM-S'
C58020       -5.2402    1.1583    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58021       -5.2992    1.1170   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C58022       -5.0453    0.9339  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58023       -4.9980    0.9339  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58024       -5.0925    0.9339  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58025       -5.4942    0.8454  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C58026       -5.5642    0.8009  180.0  AA   (T)  '0805_1P45', '0805_1P45'
C58027       -5.4655    0.9667    0.0  AA   (T)  '0402_P55MM-S', '0402_P55MM-S'
C58028       -5.4935    1.2004    0.0  AA   (T)  '0402_P56MM', '0402_P56MM'
C58029       -5.4311    1.1327    0.0  AA   (T)  '0402_P55MM-S', '0402_P55MM-S'
C58030       -5.3563    1.1583  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58031       -5.2992    1.1563  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C58032       -6.0010    0.7589  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58033       -6.1841    0.9892  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58034       -6.0482    0.7589  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58035       -6.1841    0.8947  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58036       -6.1841    0.8474  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58037       -5.7242    1.1028  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58038       -5.7715    1.1028  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58039       -5.6770    1.1028  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58041       -5.0295    1.2884  180.0  AA   (T)  '0402_P56MM', '0402_P56MM'
C58042       -5.0787    1.2981   90.0  AA   (T)  '0402_P55MM-S', '0402_P55MM-S'
C58043       -4.8819    1.4942  180.0  AA   (T)  '0805_1P45', '0805_1P45'
C58044       -4.9782    1.4090    0.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C58045       -5.7747    1.5279    0.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C58046       -5.8961    1.5626   90.0  AA   (T)  '0805_1P45', '0805_1P45'
C58047       -5.6795    1.5242  270.0  AA   (T)  '0402_P55MM-S', '0402_P55MM-S'
C58048       -4.7283    1.1961  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58049       -4.7756    1.1961  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58050       -4.9173    1.1961  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58051       -4.8228    1.1961  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58052       -4.6811    1.1961  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58053       -4.9646    1.1961  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58054       -4.8701    1.1961  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58055       -6.0984    1.9311   90.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58056       -6.1378    1.8642  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58057       -6.0073    1.6364    0.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58058       -6.1378    1.8150  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58059       -6.1417    1.6384  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58060       -5.9980    1.9390   90.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58061       -6.0492    1.9390   90.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58064       -6.1841    1.0364  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58065       -6.1841    0.9419  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58162       -6.1427    0.7589  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58163       -6.0955    0.7589  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C58164       -5.0452    1.4484  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C58165       -6.1033    1.1959   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C58166       -5.9646    0.8059   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C58167       -4.8579    0.9772  180.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C58168       -5.9783    1.8681  270.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C58169       -5.6317    1.1107  180.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C58170       -4.6398    1.1150   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C59001       -5.1598    1.4967  180.0  AA   (T)  '0402_P56MM', '0402_P56MM'
C59002       -5.1787    1.8197  180.0  AA   (T)  '0805_1P45', '0805_1P45'
C59003       -5.2356    1.9858  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C59004       -5.1864    1.9858  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C59005       -5.2356    1.8972   90.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C59006       -5.1864    1.8972   90.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C59007       -5.2461    1.5934    0.0  AA   (T)  '0402_P55MM-S', '0402_P55MM-S'
C59008       -5.2673    1.6987   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C59009       -4.9541    2.0016    0.0  AA   (T)  '0402_P56MM', '0402_P56MM'
C59010       -5.1372    1.9858  270.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C59011       -5.1372    1.8972   90.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C59016       -5.5122    1.6148  270.0  AA   (T)  '0402_P56MM', '0402_P56MM'
C59017       -5.3459    1.4908  180.0  AA   (T)  '0603_1MM-W', '0603_1MM-W'
C59018       -5.3034    1.5396   90.0  AA   (T)  '0201_P33MM', '0201_P33MM'
C59019       -5.4216    1.5587    0.0  AA   (T)  '0402_P55MM-S', '0402_P55MM-S'
