 5n-lacey.09-Eng        Tebo-ICT,  license #BoJie
R22025       -2.6772    2.5413    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22026       -2.6368    2.4980  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22027       -1.8888    2.0787   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22029       -3.7333    1.2687  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22031       -2.5300    2.4900    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22033       -1.9636    2.2421   90.0  AA   (T)  '0201_P28', '0201_P28'
R22034       -1.9636    2.2008  270.0  AA   (T)  '0201_P28', '0201_P28'
R22035       -1.9633    2.2838  270.0  AA   (T)  '0201_P28', '0201_P28'
R22036       -1.9636    2.1604  270.0  AA   (T)  '0201_P28', '0201_P28'
R22037       -2.5500    2.5150    0.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R22038       -2.6400    2.6600    0.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R22040       -2.5200    2.6014  180.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R22041       -2.5100    2.5400  180.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R22042       -2.5200    2.5650  180.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R22043       -2.6378    2.4764  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R22044       -6.1150    1.8546  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23001       -2.0838    2.1182   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23002       -2.0622    2.1182   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23003       -2.1055    2.1182   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23004       -2.0405    2.1182   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23005       -2.0189    2.1182   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23006       -2.0838    2.0788   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23007       -2.0622    2.0788   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23008       -2.1055    2.0788   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23009       -2.0405    2.0788   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23010       -2.0189    2.0788   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23011       -1.8534    1.5256  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23013       -1.9972    2.1182   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23015       -1.9539    2.1182   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23016       -1.9755    2.1182   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23017       -1.9322    2.1182   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23018       -2.0965    2.1486  180.0  AA   (B)  '0201_P26MM_B', '0201_P26MM_B'
R23020       -1.9972    2.0788   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23022       -1.9539    2.0788   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23023       -1.9755    2.0788   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23024       -1.9322    2.0788   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23030       -2.4409    1.8386    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23031       -2.4882    1.8386    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23032       -2.4390    1.7756    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23033       -2.4449    1.7967  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23040       -2.4449    1.8176  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23041       -2.4134    1.8071  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23042       -2.3425    1.8110  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23043       -2.3661    1.8110   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23044       -2.2618    2.0638   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23045       -2.2929    2.0730    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23050       -2.4764    1.8740    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23051       -2.4764    1.8976  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23052       -2.5610    1.8760  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23053       -2.5197    1.8760  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23054       -2.5354    1.8189  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23055       -2.5354    1.8425    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23056       -2.4921    1.7992    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R23057       -2.4921    1.7756  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R24004       -1.9833    1.5669   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R24005       -1.8750    1.5659  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R24006       -1.9821    1.5138  270.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R24009       -2.4134    2.6063  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25001       -2.4134    2.4980  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25003       -4.8824    2.5778    0.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R25004       -2.4134    2.4764    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25007       -1.8966    1.6870  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25008       -1.8750    1.6870  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25011       -2.4134    2.5197    0.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R25014       -1.8534    1.6870   90.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R25015       -1.9183    1.6870   90.0  AA   (B)  '0201_P28_B', '0201_P28_B'
R25019       -2.3337    2.4764  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25020       -2.3337    2.5197    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25024       -6.3953    2.2724    0.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R25035       -4.1622    0.4510   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25036       -1.9400    1.5669   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25037       -1.9616    1.5669   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25038       -2.3337    2.4980  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25046       -2.3337    2.5413  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25048       -4.3976    0.1831    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25049       -7.4094    1.9085  270.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R25050       -1.9843    1.6870  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25051       -1.9400    1.6466  270.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25052       -2.0827    1.8622  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25053       -2.0413    1.8622    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25054       -4.9183    2.5689   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R25055       -2.0413    1.7736  180.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25056       -2.0827    1.7736    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25057       -2.3740    2.5197    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25059       -0.4705    0.7726  180.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R25060       -0.6909    0.5610   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R25061       -4.9183    2.5295   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R25062       -4.8732    2.6081   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R25065       -2.3740    2.4764    0.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25068       -5.1201    2.6545   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R25069       -5.2067    2.6949   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
R25070       -4.2421   -0.0097   90.0  AA   (B)  '0201_P28MM_B', '0201_P28MM_B'
R25071       -5.1634    2.6545   90.0  AA   (T)  '0201_P28MM', '0201_P28MM'
